,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
5281968179,Enchantress,Ancient Apparition,Pangolier,Batrider,Mars,Timbersaw,Rubick,Snapfire,Nyx Assassin,Omniknight,Razor,Slark,Medusa,Troll Warlord,Morphling,Ogre Magi,Puck,Templar Assassin,Faceless Void,Huskar,Riki,Death Prophet
5282065855,Batrider,Enchantress,Ancient Apparition,Nyx Assassin,Timbersaw,Snapfire,Rubick,Mars,Oracle,Omniknight,Morphling,Slark,Death Prophet,Phantom Lancer,Disruptor,Vengeful Spirit,Medusa,Arc Warden,Razor,Huskar,Storm Spirit,Dragon Knight
5282139026,Enchantress,Ancient Apparition,Pangolier,Batrider,Rubick,Timbersaw,Nyx Assassin,Shadow Shaman,Mars,Death Prophet,Vengeful Spirit,Oracle,Arc Warden,Faceless Void,Chen,Jakiro,Shadow Fiend,Dark Seer,Naga Siren,Morphling,Lifestealer,Anti-Mage
5282227612,Enchantress,Ancient Apparition,Rubick,Batrider,Nyx Assassin,Timbersaw,Death Prophet,Shadow Demon,Centaur Warrunner,Oracle,Vengeful Spirit,Dark Seer,Arc Warden,Lifestealer,Io,Winter Wyvern,Gyrocopter,Mars,Templar Assassin,Kunkka,Faceless Void,Outworld Devourer
5281481572,Chen,Medusa,Clockwerk,Nyx Assassin,Oracle,Batrider,Ancient Apparition,Tiny,Nature's Prophet,Timbersaw,Storm Spirit,Earthshaker,Templar Assassin,Faceless Void,Witch Doctor,Rubick,Ember Spirit,Dragon Knight,Troll Warlord,Shadow Fiend,Death Prophet,Sniper
5281691890,Timbersaw,Chen,Oracle,Batrider,Mars,Ancient Apparition,Nyx Assassin,Rubick,Pangolier,Morphling,Phantom Lancer,Dark Seer,Faceless Void,Beastmaster,Ogre Magi,Lich,Slark,Axe,Ember Spirit,Outworld Devourer,Storm Spirit,Dragon Knight
5280010793,Ancient Apparition,Mars,Batrider,Nyx Assassin,Chen,Rubick,Snapfire,Clockwerk,Lich,Omniknight,Morphling,Phantom Lancer,Dark Seer,Faceless Void,Razor,Puck,Abaddon,Slark,Shadow Shaman,Queen of Pain,Outworld Devourer,Storm Spirit
5280135185,Rubick,Ancient Apparition,Omniknight,Batrider,Mars,Chen,Nyx Assassin,Enchantress,Shadow Shaman,Razor,Morphling,Timbersaw,Phantom Lancer,Bloodseeker,Pangolier,Disruptor,Kunkka,Naga Siren,Enigma,Anti-Mage,Dark Seer,Alchemist
5279724253,Medusa,Void Spirit,Timbersaw,Ancient Apparition,Batrider,Templar Assassin,Oracle,Mars,Rubick,Lifestealer,Razor,Huskar,Morphling,Puck,Vengeful Spirit,Tiny,Death Prophet,Kunkka,Slardar,Naga Siren,Beastmaster,Troll Warlord
5279883801,Medusa,Void Spirit,Timbersaw,Ancient Apparition,Earthshaker,Nyx Assassin,Oracle,Rubick,Mars,Troll Warlord,Razor,Huskar,Morphling,Abaddon,Batrider,Tiny,Death Prophet,Invoker,Beastmaster,Broodmother,Legion Commander,Templar Assassin
